DataHora,Protocolo,IP_Origem,IP_Destino,Protocolo_Num,Tamanho
2025-06-23 15:09:01,IPv6,8.0.69.0,1.90.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.89.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.124.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.123.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.158.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.157.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
2025-06-23 15:09:01,IPv6,8.0.69.0,1.192.0.0,51,65535
